Burn_history,Location,Horizon,Depth,LOI_mean,C.density,BD.g.cm3,Yr_last_fire
Recent late,Late2015_5,17,5,2.499597818,0.633832064,2.000354553,2015
Recent late,Late2015_5,7,5,3.057669463,0.630967059,1.929824842,2015
Recent late,Late2015_5,12,5,3.050698308,0.681247166,1.958425823,2015
Recent late,Late2015_6,2,2,4.090620082,0.321105678,2.137836208,2015
Recent late,Late2015_6,17,5,1.900134324,0.594933186,2.109740291,2015
Recent late,Late2015_6,7,5,2.857148976,0.591982679,1.921965321,2015
Recent late,Late2015_6,12,5,2.366627528,0.625983038,2.029184082,2015
Unburnt,Notburnt_1,2,2,6.749934563,0.474911547,2.193435511,
Unburnt,Notburnt_1,17,5,5.011946238,1.004549663,2.169727155,
Unburnt,Notburnt_1,7,5,6.855715557,0.927124784,1.707089042,
Unburnt,Notburnt_1,12,5,6.422864532,0.867857006,2.143029333,
Unburnt,Notburnt_2,2,2,4.695806879,0.492811695,2.483004042,
Unburnt,Notburnt_2,17,5,4.442063137,0.940548972,2.188145042,
Unburnt,Notburnt_2,7,5,6.801935567,1.253624751,2.225672102,
Unburnt,Notburnt_2,12,5,6.578761652,0.980745252,2.292416659,
Unburnt,Notburnt_3,2,2,15.20454678,0.633245254,1.529079573,
Unburnt,Notburnt_3,17,5,6.89852095,1.172787677,2.047778318,
Unburnt,Notburnt_3,7,5,8.119789883,1.133908708,1.741271115,
Unburnt,Notburnt_3,12,5,6.718740333,1.053217587,1.936424526,
Unburnt,Notburnt_5,2,2,8.884032731,0.552415527,1.844670158,
Unburnt,Notburnt_5,17,5,7.12361206,0.900046852,1.536429798,
Unburnt,Notburnt_5,7,5,5.827013088,0.962634624,1.849515522,
Unburnt,Notburnt_5,12,5,4.517577608,0.743775922,1.745922495,
Unburnt,Notburnt_6,2,2,9.895610637,0.615269392,2.140710696,
Unburnt,Notburnt_6,17,5,10.23307917,1.687835075,2.201547563,
Unburnt,Notburnt_6,7,5,10.78747456,1.310841416,1.710174443,
Unburnt,Notburnt_6,12,5,9.0912213,1.159475214,1.973061376,
Unburnt,Notburnt_7,2,2,29.72010454,1.356168308,1.983167583,
Unburnt,Notburnt_7,17,5,9.142630739,1.466782708,2.085763885,
Unburnt,Notburnt_7,7,5,14.56274917,1.565790718,1.648697783,
Unburnt,Notburnt_7,12,5,12.47820331,1.59030381,1.832207929,
Unburnt,Notburnt_9,2,2,5.032370445,0.482918326,2.572543467,
Unburnt,Notburnt_9,17,5,4.770960841,0.988072891,2.200764574,
Unburnt,Notburnt_9,7,5,5.53236036,1.054115957,2.107791987,
Unburnt,Notburnt_9,12,5,5.025686964,0.952062271,2.147035981,
