Burn_history,Location,Horizon,Depth,SOC,C.density
Old late,Late2004_10,17,5,2.723523549,54.47047098
Old late,Late2004_9,17,5,3.465324812,69.30649624
Old late,Late2003_1,17,5,1.620498501,32.40997002
Old late,Late2010_19,17,5,4.334796837,86.69593674
Old late,Late2012_18,17,5,3.434789356,68.69578712
Old late,Late2012_8,17,5,0.046569688,0.93139376
Unburnt,Notburnt_1,17,5,2.577052174,51.54104348
Unburnt,Notburnt_2,17,5,2.046569688,40.93139376
Unburnt,Notburnt_3,17,5,3.716700844,74.33401688
Unburnt,Notburnt_5,17,5,2.503446189,50.06892378
Unburnt,Notburnt_6,17,5,4.681818721,93.63637442
Unburnt,Notburnt_7,17,5,4.287628186,85.75256372
Unburnt,Notburnt_9,17,5,3.210797422,64.21594844
