Plot,Treatment,Type,Species,DBH,DSB,Height,DSB_m,Height_m,Biomass,C_per_tree,Carbon_kg.m2
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.8,72,0.008,0.72,1.792327764,0.896163882,0.035846555
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.6,55,0.006,0.55,0.924370015,0.462185008,0.0184874
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.5,65,0.005,0.65,0.791731565,0.395865782,0.015834631
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.8,75,0.008,0.75,1.85061046,0.92530523,0.037012209
Early2015_2,EARLY NEW,Shrub,Detarium microcarpum,NA,0.6,61,0.006,0.61,1.002525885,0.501262942,0.020050518
Early2015_2,EARLY NEW,Shrub,Piliostigma thoningii,NA,0.8,59,0.008,0.59,1.533293802,0.766646901,0.030665876
Early2015_2,EARLY NEW,Shrub,Piliostigma thoningii,NA,0.4,57,0.004,0.57,0.503419415,0.251709707,0.010068388
Early2015_2,EARLY NEW,Shrub,Piliostigma thoningii,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Early2015_2,EARLY NEW,Shrub,Piliostigma thoningii,NA,0.4,52,0.004,0.52,0.468462339,0.234231169,0.009369247
Early2015_2,EARLY NEW,Shrub,Piliostigma thoningii,NA,1.2,102,0.012,1.02,4.44705027,2.223525135,0.088941005
Early2015_2,EARLY NEW,Shrub,Piliostigma thoningii,NA,1.4,121,0.014,1.21,6.474183324,3.237091662,0.129483666
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.5,65,0.005,0.65,0.791731565,0.395865782,0.015834631
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.6,73,0.006,0.73,1.154075781,0.57703789,0.023081516
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.7,74,0.007,0.74,1.485338571,0.742669285,0.029706771
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.7,82,0.007,0.82,1.609805447,0.804902724,0.032196109
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,2.4,163,0.024,1.63,19.03790058,9.51895029,0.380758012
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,4.1,96,0.041,0.96,29.10817363,14.55408681,0.582163473
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.7,84,0.007,0.84,1.64050382,0.82025191,0.032810076
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.6,62,0.006,0.62,1.015386494,0.507693247,0.02030773
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.7,59,0.007,0.59,1.243671281,0.621835641,0.024873426
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.6,61,0.006,0.61,1.002525885,0.501262942,0.020050518
Early2015_2,EARLY NEW,Shrub,Combretum nigricans,NA,0.7,61,0.007,0.61,1.276599798,0.638299899,0.025531996
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,2.8,184,0.028,1.84,26.65846013,13.32923006,0.533169203
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,0.8,85,0.008,0.85,2.041390005,1.020695003,0.0408278
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,1.8,90,0.018,0.9,7.612668935,3.806334467,0.152253379
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,0.9,76,0.009,0.76,2.249164333,1.124582167,0.044983287
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,0.7,53,0.007,0.53,1.14339047,0.571695235,0.022867809
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,2.1,144,0.021,1.44,14.01218216,7.006091079,0.280243643
Early2014_16,EARLY NEW,Shrub,Daniela oliveri,NA,0.8,62,0.008,0.62,1.59408081,0.797040405,0.031881616
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,1.9,116,0.019,1.16,10.10993865,5.054969323,0.202198773
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,4.1,162,0.041,1.62,43.86835579,21.93417789,0.877367116
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,1.2,78,0.012,0.78,3.603655968,1.801827984,0.072073119
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,2.7,136,0.027,1.36,19.868417,9.934208499,0.39736834
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,1.8,72,0.018,0.72,6.391005394,3.195502697,0.127820108
Early2014_16,EARLY NEW,Shrub,Vitex doniana,NA,0.8,89,0.008,0.89,2.116319894,1.058159947,0.042326398
Early2014_16,EARLY NEW,Shrub,Vitex doniana,NA,0.7,52,0.007,0.52,1.126444334,0.563222167,0.022528887
Early2014_16,EARLY NEW,Shrub,Vitex doniana,NA,0.5,55,0.005,0.55,0.69455316,0.34727658,0.013891063
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,2.1,119,0.021,1.19,12.066649,6.0333245,0.24133298
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,0.6,79,0.006,0.79,1.227793737,0.613896869,0.024555875
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,0.7,108,0.007,1.08,1.9977245,0.99886225,0.03995449
Early2014_16,EARLY NEW,Shrub,Vetallaria paradoxa,NA,1.7,85,0.017,0.85,6.655172572,3.327586286,0.133103451
Early2014_13,EARLY NEW,Shrub,Gardenia ternifolia,NA,4.8,176,0.048,1.76,59.93733085,29.96866543,1.198746617
Early2014_13,EARLY NEW,Shrub,Gardenia ternifolia,NA,4.1,104,0.041,1.04,30.99309674,15.49654837,0.619861935
Early2014_13,EARLY NEW,Shrub,Crossopteryx febrifuga,NA,3.3,152,0.033,1.52,29.69363393,14.84681697,0.593872679
Early2014_13,EARLY NEW,Shrub,Crossopteryx febrifuga,NA,2.1,93,0.021,0.93,9.946246089,4.973123045,0.198924922
Early2014_13,EARLY NEW,Shrub,Crossopteryx febrifuga,NA,1,70,0.01,0.7,2.487495823,1.243747912,0.049749916
Early2014_13,EARLY NEW,Shrub,Crossopteryx febrifuga,NA,0.6,55,0.006,0.55,0.924370015,0.462185008,0.0184874
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,4.8,120,0.048,1.2,44.39256072,22.19628036,0.887851214
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,2.8,130,0.028,1.3,20.30320324,10.15160162,0.406064065
Late2003_1,LATE OLD,Shrub,Grewia sp.,NA,2.7,85,0.027,0.85,13.74528066,6.87264033,0.274905613
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.8,68,0.008,0.68,1.713792449,0.856896224,0.034275849
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.9,53,0.009,0.53,1.6955526,0.8477763,0.033911052
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.9,59,0.009,0.59,1.84426067,0.922130335,0.036885213
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,1,55,0.01,0.55,2.059018833,1.029509416,0.041180377
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,1,60,0.01,0.6,2.204361269,1.102180635,0.044087225
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.9,64,0.009,0.64,1.965693921,0.98284696,0.039313878
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.6,51,0.006,0.51,0.871243996,0.435621998,0.01742488
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.9,55,0.009,0.55,1.745507524,0.872753762,0.03491015
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.9,71,0.009,0.71,2.13232222,1.06616111,0.042646444
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.7,58,0.007,0.58,1.227116845,0.613558423,0.024542337
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.8,75,0.008,0.75,1.85061046,0.92530523,0.037012209
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.9,75,0.009,0.75,2.225932227,1.112966114,0.044518645
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,0.7,67,0.007,0.67,1.37402537,0.687012685,0.027480507
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,1.2,105,0.012,1.05,4.549258925,2.274629462,0.090985178
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,2.9,82,0.029,0.82,14.94776518,7.473882588,0.298955304
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,2.5,74,0.025,0.74,10.92876525,5.464382624,0.218575305
Late2003_1,LATE OLD,Shrub,Terminalia mollis,NA,2.9,71,0.029,0.71,13.35177507,6.675887533,0.267035501
Late2012_7,LATE OLD,Shrub,Daniela oliveri,NA,1.2,86,0.012,0.86,3.890305437,1.945152718,0.077806109
Late2012_7,LATE OLD,Shrub,Daniela oliveri,NA,2.2,69,0.022,0.69,8.466698365,4.233349183,0.169333967
Late2012_7,LATE OLD,Shrub,Daniela oliveri,NA,1.5,81,0.015,0.81,5.266563063,2.633281532,0.105331261
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.6,63,0.006,0.63,1.028202354,0.514101177,0.020564047
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.8,75,0.008,0.75,1.85061046,0.92530523,0.037012209
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.8,67,0.008,0.67,1.694004369,0.847002185,0.033880087
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.7,53,0.007,0.53,1.14339047,0.571695235,0.022867809
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.5,59,0.005,0.59,0.733847926,0.366923963,0.014676959
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.9,66,0.009,0.66,2.013686711,1.006843355,0.040273734
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.7,68,0.007,0.68,1.390075697,0.695037848,0.027801514
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.7,59,0.007,0.59,1.243671281,0.621835641,0.024873426
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,3.8,139,0.038,1.39,34.53695394,17.26847697,0.690739079
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,0.8,64,0.008,0.64,1.634251792,0.817125896,0.032685036
Late2012_7,LATE OLD,Shrub,Terminalia avicennioides,NA,1,58,0.01,0.58,2.146550997,1.073275499,0.04293102
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.7,72,0.007,0.72,1.453776545,0.726888272,0.029075531
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.6,62,0.006,0.62,1.015386494,0.507693247,0.02030773
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.6,68,0.006,0.68,1.09163958,0.54581979,0.021832792
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.5,81,0.005,0.81,0.940798434,0.470399217,0.018815969
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.7,75,0.007,0.75,1.501050274,0.750525137,0.030021005
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.6,63,0.006,0.63,1.028202354,0.514101177,0.020564047
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,0.6,70,0.006,0.7,1.116729247,0.558364624,0.022334585
Late2012_7,LATE OLD,Shrub,Piliostigma thoningii,NA,5.3,145,0.053,1.45,60.14590887,30.07295444,1.202918177
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.6,89,0.006,0.89,1.348038709,0.674019355,0.026960774
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.6,83,0.006,0.83,1.276264983,0.638132491,0.0255253
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,1.2,97,0.012,0.97,4.275242233,2.137621117,0.085504845
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.6,77,0.006,0.77,1.203360125,0.601680063,0.024067203
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.5,52,0.005,0.52,0.664676311,0.332338155,0.013293526
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.6,59,0.006,0.59,0.976666809,0.488333404,0.019533336
Late2012_7,LATE OLD,Shrub,Teriscarpus laziflora,NA,1.4,59,0.014,0.59,3.686892143,1.843446072,0.073737843
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,4.8,175,0.048,1.75,59.67020707,29.83510354,1.193404141
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.9,61,0.009,0.61,1.893090912,0.946545456,0.037861818
Late2012_7,LATE OLD,Shrub,Pteleopsis subarosa,NA,0.8,60,0.008,0.6,1.553628765,0.776814382,0.031072575
Late2012_7,LATE OLD,Shrub,Vitex doniana,NA,1.9,64,0.019,0.64,6.342849165,3.171424582,0.126856983
Late2012_7,LATE OLD,Shrub,Daniela oliveri,NA,0.6,86,0.006,0.86,1.31228714,0.65614357,0.026245743
Late2004_9,LATE OLD,Shrub,Grewia sp.,NA,1.5,81,0.015,0.81,5.266563063,2.633281532,0.105331261
Late2004_9,LATE OLD,Shrub,Grewia sp.,NA,0.7,75,0.007,0.75,1.501050274,0.750525137,0.030021005
Late2004_9,LATE OLD,Shrub,Grewia sp.,NA,1.5,124,0.015,1.24,7.35358542,3.67679271,0.147071708
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,65,0.007,0.65,1.341768198,0.670884099,0.026835364
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.9,135,0.009,1.35,3.528743198,1.764371599,0.070574864
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.6,81,0.006,0.81,1.252094026,0.626047013,0.025041881
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,4.1,57,0.041,0.57,19.34384647,9.671923235,0.386876929
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,1.1,66,0.011,0.66,2.758201241,1.37910062,0.055164025
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,85,0.007,0.85,1.655793638,0.827896819,0.033115873
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.5,91,0.005,0.91,1.030689204,0.515344602,0.020613784
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,100,0.007,1,1.880765778,0.940382889,0.037615316
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.8,119,0.008,1.19,2.657515164,1.328757582,0.053150303
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.4,72,0.004,0.72,0.604592291,0.302296145,0.012091846
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.4,81,0.004,0.81,0.663072578,0.331536289,0.013261452
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.5,84,0.005,0.84,0.968005248,0.484002624,0.019360105
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,105,0.007,1.05,1.954091994,0.977045997,0.03908184
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.8,61,0.008,0.61,1.573890616,0.786945308,0.031477812
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.6,61,0.006,0.61,1.002525885,0.501262942,0.020050518
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,82,0.007,0.82,1.609805447,0.804902724,0.032196109
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.6,73,0.006,0.73,1.154075781,0.57703789,0.023081516
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.6,83,0.006,0.83,1.276264983,0.638132491,0.0255253
Late2004_9,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,57,0.007,0.57,1.210500611,0.605250306,0.024210012
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,0.7,99,0.007,0.99,1.86600646,0.93300323,0.037320129
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,0.6,80,0.006,0.8,1.239960292,0.619980146,0.024799206
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,0.6,87,0.006,0.87,1.324233832,0.662116916,0.026484677
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,2,134,0.02,1.34,12.26824062,6.13412031,0.245364812
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,0.6,60,0.006,0.6,0.989619632,0.494809816,0.019792393
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,0.6,70,0.006,0.7,1.116729247,0.558364624,0.022334585
Late2004_9,LATE OLD,Shrub,Combretum nigricans,NA,0.7,74,0.007,0.74,1.485338571,0.742669285,0.029706771
Late2012_8,LATE OLD,Shrub,Terminalia avicennioides,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Late2012_8,LATE OLD,Shrub,UN,NA,0.6,119,0.006,1.19,1.692765503,0.846382752,0.03385531
Late2012_8,LATE OLD,Shrub,UN,NA,0.7,112,0.007,1.12,2.055496406,1.027748203,0.041109928
Late2012_8,LATE OLD,Shrub,UN,NA,0.6,115,0.006,1.15,1.647997597,0.823998798,0.032959952
Late2012_8,LATE OLD,Shrub,UN,NA,0.8,121,0.008,1.21,2.692464216,1.346232108,0.053849284
Late2012_8,LATE OLD,Shrub,UN,NA,0.6,104,0.006,1.04,1.523098434,0.761549217,0.030461969
Late2012_8,LATE OLD,Shrub,UN,NA,0.8,83,0.008,0.83,2.003640515,1.001820258,0.04007281
Late2012_8,LATE OLD,Shrub,UN,NA,1,89,0.01,0.89,3.002733802,1.501366901,0.060054676
Late2012_8,LATE OLD,Shrub,UN,NA,0.9,87,0.009,0.87,2.500578859,1.250289429,0.050011577
Late2012_8,LATE OLD,Shrub,UN,NA,0.7,83,0.007,0.83,1.625174616,0.812587308,0.032503492
Late2012_8,LATE OLD,Shrub,UN,NA,0.9,87,0.009,0.87,2.500578859,1.250289429,0.050011577
Late2012_8,LATE OLD,Shrub,UN,NA,0.6,83,0.006,0.83,1.276264983,0.638132491,0.0255253
Late2012_8,LATE OLD,Shrub,UN,NA,1.1,89,0.011,0.89,3.486681558,1.743340779,0.069733631
Late2012_8,LATE OLD,Shrub,UN,NA,0.5,74,0.005,0.74,0.876447536,0.438223768,0.017528951
Late2012_8,LATE OLD,Shrub,UN,NA,0.7,83,0.007,0.83,1.625174616,0.812587308,0.032503492
Late2012_8,LATE OLD,Shrub,Detarium microcarpum,NA,0.9,108,0.009,1.08,2.962458634,1.481229317,0.059249173
Late2012_8,LATE OLD,Shrub,Terminalia avicennioides,NA,0.6,54,0.006,0.54,0.911169146,0.455584573,0.018223383
Late2004_10,LATE OLD,Shrub,Xemania americana,NA,1.1,95,0.011,0.95,3.669636042,1.834818021,0.073392721
Late2004_10,LATE OLD,Shrub,Xemania americana,NA,0.6,68,0.006,0.68,1.09163958,0.54581979,0.021832792
Late2004_10,LATE OLD,Shrub,Annona senegalensis,NA,0.9,67,0.009,0.67,2.037564901,1.01878245,0.040751298
Late2004_10,LATE OLD,Shrub,Annona senegalensis,NA,0.4,55,0.004,0.55,0.489519474,0.244759737,0.009790389
Late2004_10,LATE OLD,Shrub,Annona senegalensis,NA,0.7,59,0.007,0.59,1.243671281,0.621835641,0.024873426
Late2004_10,LATE OLD,Shrub,Detarium microcarpum,NA,0.7,75,0.007,0.75,1.501050274,0.750525137,0.030021005
Late2004_10,LATE OLD,Shrub,Detarium microcarpum,NA,0.6,67,0.006,0.67,1.079035107,0.539517553,0.021580702
Late2004_10,LATE OLD,Shrub,Detarium microcarpum,NA,0.6,63,0.006,0.63,1.028202354,0.514101177,0.020564047
Late2004_10,LATE OLD,Shrub,Vitex doniana,NA,0.8,55,0.008,0.55,1.451191749,0.725595875,0.029023835
Late2004_10,LATE OLD,Shrub,Annona senegalensis,NA,0.7,55,0.007,0.55,1.177077413,0.588538706,0.023541548
Late2004_10,LATE OLD,Shrub,Annona senegalensis,NA,0.6,56,0.006,0.56,0.937519115,0.468759558,0.018750382
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.6,91,0.006,0.91,1.371728255,0.685864128,0.027434565
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.6,82,0.006,0.82,1.26419543,0.632097715,0.025283909
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.7,95,0.007,0.95,1.806642606,0.903321303,0.036132852
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.5,65,0.005,0.65,0.791731565,0.395865782,0.015834631
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.6,72,0.006,0.72,1.141664458,0.570832229,0.022833289
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.7,69,0.007,0.69,1.406075095,0.703037548,0.028121502
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.6,57,0.006,0.57,0.950617569,0.475308784,0.019012351
Late2012_18,LATE OLD,Shrub,Combretum nigricans,NA,0.5,55,0.005,0.55,0.69455316,0.34727658,0.013891063
Late2012_18,LATE OLD,Shrub,Terminalia avicennioides,NA,0.9,75,0.009,0.75,2.225932227,1.112966114,0.044518645
Late2012_18,LATE OLD,Shrub,Lannes acida,NA,2.6,74,0.026,0.74,11.62186876,5.810934378,0.232437375
Late2012_18,LATE OLD,Shrub,Combretum molli,NA,0.5,55,0.005,0.55,0.69455316,0.34727658,0.013891063
Late2012_18,LATE OLD,Shrub,Combretum molli,NA,0.6,59,0.006,0.59,0.976666809,0.488333404,0.019533336
Late2012_18,LATE OLD,Shrub,Combretum molli,NA,0.4,51,0.004,0.51,0.461385479,0.23069274,0.00922771
Late2010_19,LATE OLD,Shrub,Crossopteryx febrifuga,NA,2.1,131,0.021,1.31,13.01051194,6.50525597,0.260210239
Late2010_19,LATE OLD,Shrub,Crossopteryx febrifuga,NA,0.5,51,0.005,0.51,0.654635331,0.327317665,0.013092707
Late2010_19,LATE OLD,Shrub,Abutilon ramosum,NA,0.8,69,0.008,0.69,1.73351774,0.86675887,0.034670355
Late2010_19,LATE OLD,Shrub,Combretum nigricans,NA,0.6,67,0.006,0.67,1.079035107,0.539517553,0.021580702
Late2010_19,LATE OLD,Shrub,Combretum nigricans,NA,0.8,105,0.008,1.05,2.409155207,1.204577603,0.048183104
Late2010_19,LATE OLD,Shrub,Combretum nigricans,NA,0.7,88,0.007,0.88,1.701432329,0.850716164,0.034028647
Late2010_19,LATE OLD,Shrub,Combretum nigricans,NA,0.5,65,0.005,0.65,0.791731565,0.395865782,0.015834631
Late2010_19,LATE OLD,Shrub,Vetallaria paradoxa,NA,1.1,59,0.011,0.59,2.526133803,1.263066902,0.050522676
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,2.4,131,0.024,1.31,16.04036181,8.020180904,0.320807236
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,1.2,100,0.012,1,4.378550512,2.189275256,0.08757101
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,0.7,70,0.007,0.7,1.422024462,0.711012231,0.028440489
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,2.3,73,0.023,0.73,9.48780386,4.74390193,0.189756077
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,0.9,62,0.009,0.62,1.917375874,0.958687937,0.038347517
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,0.6,61,0.006,0.61,1.002525885,0.501262942,0.020050518
Late2015_3,LATE NEW,Shrub,Terminalia avicennioides,NA,0.7,52,0.007,0.52,1.126444334,0.563222167,0.022528887
Late2015_3,LATE NEW,Shrub,Combretum aculeatum,NA,2.7,57,0.027,0.57,10.04875865,5.024379324,0.200975173
Late2015_3,LATE NEW,Shrub,Combretum aculeatum,NA,3.1,53,0.031,0.53,11.78709339,5.893546694,0.235741868
Late2015_4,LATE NEW,Shrub,Combretum adenogonium,NA,1,80,0.01,0.8,2.761990926,1.380995463,0.055239819
Late2015_4,LATE NEW,Shrub,Combretum adenogonium,NA,1,63,0.01,0.63,2.29030364,1.14515182,0.045806073
Late2015_4,LATE NEW,Shrub,Combretum adenogonium,NA,0.6,61,0.006,0.61,1.002525885,0.501262942,0.020050518
Late2015_4,LATE NEW,Shrub,Combretum molli,NA,0.6,57,0.006,0.57,0.950617569,0.475308784,0.019012351
Late2015_4,LATE NEW,Shrub,Combretum molli,NA,1.9,121,0.019,1.21,10.44997747,5.224988734,0.208999549
Late2015_4,LATE NEW,Shrub,Combretum molli,NA,1.8,62,0.018,0.62,5.684104917,2.842052459,0.113682098
Late2015_4,LATE NEW,Shrub,Combretum molli,NA,0.9,101,0.009,1.01,2.810858204,1.405429102,0.056217164
Late2015_4,LATE NEW,Shrub,Combretum molli,NA,0.6,70,0.006,0.7,1.116729247,0.558364624,0.022334585
Late2015_4,LATE NEW,Shrub,Combretum molli,NA,0.8,102,0.008,1.02,2.355028477,1.177514238,0.04710057
Late2015_4,LATE NEW,Shrub,Annona senegalensis,NA,1.4,59,0.014,0.59,3.686892143,1.843446072,0.073737843
Late2015_4,LATE NEW,Shrub,Combretum nigricans,NA,0.7,71,0.007,0.71,1.437924665,0.718962333,0.028758493
Late2015_4,LATE NEW,Shrub,Combretum nigricans,NA,0.6,52,0.006,0.52,0.88460738,0.44230369,0.017692148
Late2015_4,LATE NEW,Shrub,Combretum adenogonium,NA,0.7,56,0.007,0.56,1.193821258,0.596910629,0.023876425
Late2015_4,LATE NEW,Shrub,Annona senegalensis,NA,1.3,57,0.013,0.57,3.194925192,1.597462596,0.063898504
Late2015_4,LATE NEW,Shrub,Annona senegalensis,NA,1.9,88,0.019,0.88,8.141414548,4.070707274,0.162828291
Late2015_4,LATE NEW,Shrub,Combretum adenogonium,NA,2.9,156,0.029,1.56,24.74730782,12.37365391,0.494946156
Late2015_4,LATE NEW,Shrub,Combretum nigricans,NA,0.6,76,0.006,0.76,1.191092012,0.595546006,0.02382184
Late2015_4,LATE NEW,Shrub,Combretum nigricans,NA,0.5,51,0.005,0.51,0.654635331,0.327317665,0.013092707
Late2015_5,LATE NEW,Shrub,Gardenia aqualla,NA,2.8,103,0.028,1.03,16.91638141,8.458190707,0.338327628
Late2015_5,LATE NEW,Shrub,Crossopteryx febrifuga,NA,4.8,183,0.048,1.83,61.79814341,30.8990717,1.235962868
Late2015_5,LATE NEW,Shrub,Gardenia aqualla,NA,2,60,0.02,0.6,6.534879729,3.267439864,0.130697595
Late2015_5,LATE NEW,Shrub,Combretum adenogonium,NA,0.6,62,0.006,0.62,1.015386494,0.507693247,0.02030773
Late2015_5,LATE NEW,Shrub,Combretum adenogonium,NA,0.6,52,0.006,0.52,0.88460738,0.44230369,0.017692148
Late2015_5,LATE NEW,Shrub,Combretum adenogonium,NA,0.6,66,0.006,0.66,1.066389912,0.533194956,0.021327798
Late2015_5,LATE NEW,Shrub,Combretum adenogonium,NA,0.8,54,0.008,0.54,1.430467373,0.715233686,0.028609347
Late2015_5,LATE NEW,Shrub,Combretum adenogonium,NA,0.6,52,0.006,0.52,0.88460738,0.44230369,0.017692148
Late2015_5,LATE NEW,Shrub,Terminalia mollis,NA,1.7,147,0.017,1.47,10.22463667,5.112318334,0.204492733
Late2015_5,LATE NEW,Shrub,Gardenia aqualla,NA,3.7,147,0.037,1.47,34.60801803,17.30400901,0.692160361
Late2015_5,LATE NEW,Shrub,Gardenia aqualla,NA,3.3,111,0.033,1.11,23.20838096,11.60419048,0.464167619
Late2015_5,LATE NEW,Shrub,Terminalia avicennioides,NA,2.5,100,0.025,1,13.83822387,6.919111936,0.276764477
Late2015_5,LATE NEW,Shrub,Terminalia avicennioides,NA,2.3,101,0.023,1.01,12.23754869,6.118774346,0.244750974
