Burn_history,Location,Pool,C.stock.kg.m2
Recent late,Late2015_3,Litter,0.05888125
Recent late,Late2015_4,Litter,0.03064375
Recent late,Late2015_5,Litter,0.039175
Recent late,Late2015_6,Litter,0.0466375
Old late,Late2012_7,Litter,0.0369375
Old late,Late2004_10,Litter,0.0167125
Old late,Late2004_9,Litter,0.02725625
Old late,Late2003_1,Litter,0.03209375
Old late,Late2010_19,Litter,0.01299375
Old late,Late2012_18,Litter,0.02576875
Old late,Late2012_8,Litter,0.05451875
Unburnt,Notburnt_1,Litter,0.105725
Unburnt,Notburnt_2,Litter,0.08373125
Unburnt,Notburnt_3,Litter,0.18368125
Unburnt,Notburnt_5,Litter,0.11918125
Unburnt,Notburnt_6,Litter,0.1498875
Unburnt,Notburnt_7,Litter,0.106425
Unburnt,Notburnt_9,Litter,0.06009375
