Treatment,Location,Subplot,Horizon,Depth,SOC,C.density
Recent late,Late2014_15,5,7,5,1.275975612,25.51951224
Recent late,Late2014_15,5,12,5,1.310794649,26.21589298
Recent late,Late2014_15,5,17,5,1.377564712,27.55129425
Recent late,Late2013_13,1,2,2,0.742627235,37.13136173
Recent late,Late2013_13,1,7,5,1.044990443,20.89980886
Recent late,Late2013_13,1,12,5,0.702743167,14.05486333
Recent late,Late2013_13,2,2,2,0.934751458,46.73757291
Recent late,Late2013_13,2,7,5,1.652794377,33.05588753
Recent late,Late2013_13,2,12,5,1.814819422,36.29638844
Recent late,Late2013_13,3,2,2,1.720819958,86.04099792
Recent late,Late2013_13,3,7,5,2.214770531,44.29541062
Recent late,Late2013_13,3,12,5,1.281606502,25.63213004
Recent late,Late2013_13,4,2,2,1.23454167,61.72708349
Recent late,Late2013_13,4,7,5,1.88778068,37.75561359
Recent late,Late2013_13,4,12,5,1.277815905,25.55631811
Recent late,Late2013_13,5,2,2,1.072357663,53.61788315
Recent late,Late2013_13,5,7,5,2.086629972,41.73259944
Recent late,Late2013_13,5,12,5,1.67339967,33.46799341
Recent late,Late2013_13,5,17,5,1.067288475,21.34576951
Recent late,Late2013_14,1,2,2,1.984826114,99.24130568
Recent late,Late2013_14,1,7,5,5.312926858,106.2585372
Recent late,Late2013_14,1,12,5,4.823655292,96.47310584
Recent late,Late2013_14,2,2,2,1.832325578,91.61627891
Recent late,Late2013_14,2,7,5,6.544840126,130.8968025
Recent late,Late2013_14,2,12,5,3.818141135,76.3628227
Recent late,Late2013_14,3,2,2,2.370174136,118.5087068
Recent late,Late2013_14,3,7,5,5.179702626,103.5940525
Recent late,Late2013_14,3,12,5,4.932424685,98.6484937
Recent late,Late2013_14,4,2,2,1.236613977,61.83069885
Recent late,Late2013_14,4,7,5,4.317814374,86.35628748
Recent late,Late2013_14,4,12,5,5.446421073,108.9284215
Recent late,Late2013_14,5,2,2,1.340679435,67.03397174
Recent late,Late2013_14,5,7,5,5.778972719,115.5794544
Recent late,Late2013_14,5,12,5,5.225561957,104.5112391
Recent early,Early2015_5,1,2,2,0.802674694,40.13373468
Recent early,Early2015_5,1,7,5,2.431904179,48.63808359
Recent early,Early2015_5,1,12,5,3.205315345,64.10630691
Recent early,Early2015_5,2,2,2,0.506949562,25.34747809
Recent early,Early2015_5,2,7,5,2.318711336,46.37422672
Recent early,Early2015_5,2,12,5,3.143240442,62.86480883
Recent early,Early2015_5,3,2,2,0.724732763,36.23663813
Recent early,Early2015_5,3,7,5,2.59739962,51.9479924
Recent early,Early2015_5,3,12,5,2.636806659,52.73613319
Recent early,Early2015_5,4,2,2,0.876798516,43.8399258
Recent early,Early2015_5,4,7,5,2.937760941,58.75521882
Recent early,Early2015_5,4,12,5,4.205044607,84.10089213
Recent early,Early2015_5,5,2,2,1.130876682,56.54383408
Recent early,Early2015_5,5,7,5,2.851617239,57.03234478
Recent early,Early2015_5,5,12,5,2.710259821,54.20519642
Recent early,Early2015_5,5,17,5,2.671162769,53.42325538
Recent early,Early2015_6,1,2,2,1.027588539,51.37942695
Recent early,Early2015_6,1,7,5,3.385586473,67.71172945
Recent early,Early2015_6,1,12,5,1.546305186,30.92610373
Recent early,Early2015_6,2,2,2,1.464818244,73.24091218
Recent early,Early2015_6,2,7,5,4.683244923,93.66489846
Recent early,Early2015_6,2,12,5,1.913260092,38.26520184
Recent early,Early2015_6,3,2,2,0.872397111,43.61985557
Recent early,Early2015_6,3,7,5,2.561405052,51.22810103
Recent early,Early2015_6,3,12,5,3.111918098,62.23836196
Recent early,Early2015_6,4,2,2,1.128719759,56.43598797
Recent early,Early2015_6,4,7,5,4.239209811,84.78419621
Recent early,Early2015_6,4,12,5,2.264032601,45.28065202
Recent early,Early2015_6,5,2,2,0.983243243,49.16216216
Recent early,Early2015_6,5,7,5,2.866495817,57.32991635
Recent early,Early2015_6,5,12,5,1.829143342,36.58286684
Recent early,Early2015_7,1,2,2,0.411490763,20.57453817
Recent early,Early2015_7,1,7,5,1.21274657,24.25493139
Recent early,Early2015_7,1,12,5,1.971589236,39.43178471
Recent early,Early2015_7,2,2,2,0.600856577,30.04282886
Recent early,Early2015_7,2,7,5,1.621495253,32.42990506
Recent early,Early2015_7,2,12,5,1.844610084,36.89220168
Recent early,Early2015_7,3,2,2,1.514748355,75.73741776
Recent early,Early2015_7,3,7,5,1.176180767,23.52361533
Recent early,Early2015_7,3,12,5,0.532045431,10.64090863
Recent early,Early2015_7,4,2,2,0.363220424,18.16102122
Recent early,Early2015_7,4,7,5,1.788351493,35.76702985
Recent early,Early2015_7,4,12,5,1.541342323,30.82684646
Recent early,Early2015_7,5,2,2,0.626719622,31.33598109
Recent early,Early2015_7,5,7,5,1.662160015,33.2432003
Recent early,Early2015_7,5,12,5,1.457015703,29.14031405
Recent early,Early2015_7,5,17,5,2.586796096,51.73592191
Recent early,Early2014_16,1,2,2,1.356085597,67.80427985
Recent early,Early2014_16,1,7,5,3.760168475,75.20336949
Recent early,Early2014_16,1,12,5,3.985795235,79.7159047
